,ec,in_degree,out_degree,eigenvector_centrality,closeness centrality,Betweenness centrality,pagerank,hits,class
607,eco:b0781,0.00995575221238938,0.008849557522123894,0.017945871600242393,0.12717836639531843,0.0073120317840616,0.0018466117687101077,0.002486048432615061,2
608,eco:b0783,0.0022123893805309734,0.0022123893805309734,0.0009866873184408078,0.10499757546369255,0.00590093003655465,0.0010895696120040018,0.0001285301719533229,2
609,eco:b3058,0.00331858407079646,0.004424778761061947,0.00017233823015206504,0.09226592582584611,0.004850371912409813,0.0012155806990600472,1.6689097284540604e-05,1
610,eco:b2315,0.004424778761061947,0.00663716814159292,2.0427148842204477e-06,0.07614677571185652,0.0005442613254751422,0.0009926681696595908,4.1878167027847417e-07,1
611,eco:b2153,0.012168141592920354,0.012168141592920354,0.018032325254191472,0.1279551072324234,0.012259482251440124,0.0022741636719203866,0.0025353852792518927,1
612,eco:b2777,0.0022123893805309734,0.0022123893805309734,6.768094922264309e-05,0.09020027077004358,0.0026313468379737157,0.0011501730947758987,7.251464281433476e-06,2
613,eco:b0444,0.0022123893805309734,0.0022123893805309734,3.7220029096269077e-06,0.07829041937290279,0.001318123462597634,0.0015015947442193693,3.737638739101768e-07,2
614,eco:b2794,0.0011061946902654867,0.0011061946902654867,2.0411862367106628e-07,0.0691284081308473,0.0,0.0008891199158891224,1.8144498102926183e-08,2
615,eco:b3360,0.00331858407079646,0.0011061946902654867,3.8557667337576345e-07,0.07652281793819662,2.695047971853899e-05,0.001023880471207682,6.501473877420155e-08,2
616,eco:b2877,0.0,0.0022123893805309734,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,8.500453098698505e-10,2
617,eco:b3368,0.0011061946902654867,0.0011061946902654867,1.1338479486037045e-11,0.04971645995298716,0.0,0.0008184585288377472,5.991164488530631e-13,2
618,eco:b3803,0.00331858407079646,0.00331858407079646,2.0029976921896767e-10,0.05428532447103676,0.001318123462597634,0.001999932476616575,1.3462088903530084e-11,2
619,eco:b1993,0.0011061946902654867,0.0022123893805309734,2.4482949167403283e-18,0.0022123893805309734,4.900087221552543e-06,0.0008125332644469011,4.418265140953209e-49,2
620,eco:b1992,0.00331858407079646,0.00331858407079646,4.523874464319363e-18,0.0035398230088495575,1.5925283470045767e-05,0.0019805073475817193,6.39046792261429e-50,2
621,eco:b0638,0.0022123893805309734,0.0022123893805309734,3.462451956329232e-18,0.0029498525073746312,8.575152637716951e-06,0.0016104623641817872,4.418265140953209e-49,2
622,eco:b1991,0.0011061946902654867,0.0011061946902654867,1.8738808337937343e-18,0.001966568338249754,0.0,0.0009401118756006153,2.6470184834570574e-50,2
623,eco:b2459,0.0011061946902654867,0.0011061946902654867,2.4482949167403283e-18,0.0022123893805309734,0.0,0.0008125332644469011,3.2343945644882156e-49,2
624,eco:b0428,0.0011061946902654867,0.0011061946902654867,5.438766463838277e-15,0.03978449719747206,0.0,0.0009347707631572067,1.7791535503447277e-16,2
625,eco:b0475,0.0022123893805309734,0.0022123893805309734,8.472303468285612e-14,0.04265749197269334,0.001318123462597634,0.0016083252875203923,3.207752172309858e-15,1
626,eco:b3336,0.0,0.0,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0,2
627,eco:b0154,0.0022123893805309734,0.0022123893805309734,1.9680084077046118e-05,0.08440981556885088,0.014229853291388586,0.0012240265482424662,2.038073495797099e-06,1
628,eco:b1210,0.0022123893805309734,0.0022123893805309734,0.0003568521049122857,0.09780819899247802,0.015494075794549141,0.0009315024083262544,3.580509113323323e-05,1
629,eco:b2400,0.012168141592920354,0.014380530973451327,0.006478302697338261,0.11617661492156446,0.01678370144477298,0.0024342251653188107,0.0008124746369587017,1
630,eco:b1270,0.0011061946902654867,0.0,1.3249968179037987e-18,0.0021272974812797823,0.0,0.0005990877676111195,0.0,2
631,eco:b3850,0.00331858407079646,0.00331858407079646,1.4119274863864788e-12,0.045964274296157945,0.0026313468379737157,0.0019803237164888418,7.110400383096078e-14,1
632,eco:b2436,0.00331858407079646,0.00331858407079646,1.2168517932058041e-11,0.04980312890060726,0.0019661599976479585,0.0018469621590448213,6.393864694434071e-13,2
633,eco:b3867,0.00331858407079646,0.00331858407079646,1.2168517932058041e-11,0.04980312890060726,0.0019661599976479585,0.0018469621590448213,6.393864694434071e-13,2
634,eco:b0369,0.0022123893805309734,0.0022123893805309734,1.087375708981392e-06,0.07420489807859075,0.012960730701006477,0.001353920231255442,8.981622987265109e-08,1
635,eco:b3805,0.0022123893805309734,0.0022123893805309734,6.025988978305399e-08,0.06617345617242194,0.011686708023402817,0.001369200596899833,5.112494875283355e-09,1
636,eco:b3804,0.00331858407079646,0.00331858407079646,3.367211237391661e-09,0.05968808041079427,0.010407785258577601,0.0019108873064680406,2.2593958277784777e-10,1
637,eco:b3997,0.004424778761061947,0.004424778761061947,2.0101056223766366e-10,0.05432285969971164,0.006541616440772647,0.002405262776926451,1.3497807208977725e-11,2
638,eco:b3187,0.0011061946902654867,0.0,1.8585900442088264e-11,0.05014116246977351,0.0,0.0004612375795216949,0.0,1
639,eco:b0421,0.0022123893805309734,0.004424778761061947,3.3921610781683786e-10,0.054587066764431445,0.001955134801399465,0.0009817257449993887,2.372403028485254e-11,1
640,eco:b2889,0.0022123893805309734,0.0022123893805309734,3.3921610781683786e-10,0.054587066764431445,0.0,0.0008351653347605744,2.3605306505651697e-11,2
641,eco:b2515,0.0022123893805309734,0.0022123893805309734,1.0608669464702763e-07,0.06689181425347634,0.005872754535030723,0.001176397383646537,8.820800387205224e-09,1
642,eco:b0029,0.00331858407079646,0.00331858407079646,5.851054397325334e-09,0.06013351384669571,0.004571781377708523,0.0013177262129388588,5.657513404701626e-10,1
643,eco:b0173,0.00331858407079646,0.00331858407079646,0.011615989935766667,0.1205900780363898,0.011027646292104,0.0010538400190745123,0.001401796038270047,1
644,eco:b2747,0.0022123893805309734,0.0022123893805309734,0.0006385815658063079,0.10053030817748938,0.009746273483668008,0.0010905307663077127,8.966565148643025e-05,1
645,eco:b1208,0.0022123893805309734,0.0022123893805309734,3.510525421349826e-05,0.08614521473761837,0.008460000588010465,0.0012665222427671594,3.516372337588028e-06,1
646,eco:b2746,0.0022123893805309734,0.0022123893805309734,1.9298364536078187e-06,0.0753254418415225,0.007168827605131371,0.001292583512683843,2.2492417818723046e-07,1
647,eco:b0174,0.0011061946902654867,0.0011061946902654867,1.8585900442088264e-11,0.05014116246977351,0.0006504865786611001,0.0004612375795216949,2.6470184834570574e-50,1
648,eco:b0340,0.0011061946902654867,0.0,6.578690352576779e-24,0.001966568338249754,0.0,0.0009590911971574323,0.0,2
649,eco:b0339,0.0011061946902654867,0.0011061946902654867,1.0590344565970647e-24,0.001991150442477876,3.6750654161644075e-06,0.0008314054535362309,2.871449988359962e-62,2
650,eco:b1468,0.0011061946902654867,0.00331858407079646,5.369162874123377e-20,0.0014749262536873156,0.0006688619057419222,0.0004890721659091273,2.0282132333655974e-08,2
651,eco:b3366,0.00331858407079646,0.0,9.963959579580442e-06,0.08373720549438415,0.0,0.0008823806531379809,0.0,2
652,eco:b4070,0.0011061946902654867,0.0022123893805309734,4.053061140154971e-20,0.0014749262536873156,0.001335273767873068,0.00039088442306790014,2.1767614550332576e-06,2
653,eco:b2206,0.0022123893805309734,0.0022123893805309734,7.11262647477251e-20,0.0022123893805309734,1.8375327080822037e-06,0.0005570366392766447,1.4784724924903318e-08,2
654,eco:b1469,0.0,0.0,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0,2
655,eco:b0873,0.0,0.0011061946902654867,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,2.171277768816825e-06,2
656,eco:b3425,0.00331858407079646,0.0055309734513274336,2.903792267441172e-15,0.003982300884955752,0.0003399435509952076,0.0007597367606889682,1.8673628638824162e-08,2
657,eco:b1670,0.0022123893805309734,0.0022123893805309734,1.9358615116283284e-15,0.002844500632111251,0.0,0.000510864135452084,1.8737299727971742e-10,2
658,eco:b2764,0.00331858407079646,0.0055309734513274336,2.903792267441172e-15,0.003982300884955752,0.0003399435509952076,0.0007597367606889682,1.8673628638824162e-08,2
659,eco:b0936,0.0,0.0,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0,2
660,eco:b0367,0.0,0.0,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0,2
661,eco:b2762,0.004424778761061947,0.00663716814159292,3.871723023254016e-15,0.00497787610619469,0.0020323111751389166,0.0011337437426351816,1.86745746291548e-08,2
662,eco:b3917,0.0,0.0,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0,2
