,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,clustering_coefficient,class
368,eco:b1189,0.0011145679629002033,0.13789049208825044,0.0005788272349423808,0.0005286209281317126,0.1636767295091559,0.0,2
369,eco:b3830,6.641803599604241e-27,0.0,0.0,0.0,0.0,0.0,2
370,eco:b3708,3.93878082878508e-11,0.06669274685400951,0.0,0.0,0.07235028947391361,1.0,2
371,eco:b2599,0.0012575780627284436,0.13961952647180217,0.00062783433089593,0.00057840507828071,0.16759273551983003,0.6,2
372,eco:b1260,4.730244422039737e-10,0.07336401892625845,0.0007918050547507118,0.0007918050547507118,0.08072923852623701,0.6666666666666666,2
373,eco:b1262,1.0953582234950097e-08,0.08149117072347868,0.006324957742739219,0.006324957742739219,0.09051966093107396,0.3333333333333333,2
374,eco:b2329,5.278941140695649e-05,0.12046346653296136,0.006426599244255652,0.006455416936780271,0.14158998419063737,0.4666666666666667,2
375,eco:b1264,6.488465102062823e-06,0.10446160306813515,0.009458988528309401,0.009458988528309401,0.1199919986916726,0.5,2
376,eco:b2600,0.0011723719049325113,0.14139247283969808,0.05024704601297678,0.049332290430484316,0.1712703872116275,0.2857142857142857,2
377,eco:b3389,0.000693199239247682,0.13746490414970647,0.00574374470298932,0.005923638525554903,0.15595647551577912,0.3333333333333333,2
378,eco:b2601,0.0169458696854146,0.16624530654548825,0.05333513642589588,0.05747545154513905,0.20122687734222003,0.2857142857142857,2
379,eco:b1692,2.962105708469017e-05,0.1182251250940043,0.002298942066521866,0.0025254674593252853,0.13070115261355794,0.5,2
380,eco:b1693,2.9566244679374744e-05,0.11692718815979807,0.000644471313256958,0.0006318216139073199,0.12871875283464024,0.6666666666666666,2
381,eco:b3281,2.469849219032078e-06,0.10404011857922146,5.066920170720124e-05,5.1685628106076594e-05,0.11283585384510349,0.6666666666666666,2
382,eco:b3390,1.3987899706866395e-06,0.10817507582017086,0.0010164629228103514,0.0013219750779873284,0.11782968572957743,0.3333333333333333,2
383,eco:b0908,2.213755517703995e-06,0.10867899698082384,0.0011208908419177571,0.0014181283615041505,0.12055616974006558,0.0,2
384,eco:b1263,2.6596902858439017e-07,0.0915747511008512,0.00789434380934093,0.00789434380934093,0.10239991993256443,0.0,2
385,eco:b0133,0.00022092425072805542,0.13433641853291853,0.0037790302292761186,0.004255859692452063,0.16265842427431082,0.3,2
386,eco:b0131,0.0005237198688935707,0.13777416152687116,0.0006313808587390982,0.0007534109080089332,0.16654780354453907,0.6222222222222222,2
387,eco:b3447,0.0062579770798656805,0.14655247334416807,0.008080596194227655,0.007413107798677134,0.18814557465264722,0.4458874458874459,2
388,eco:b0368,0.0001566144889896937,0.12698935157842248,0.01088551981718955,0.010584892673968966,0.15039368502371778,0.5,2
389,eco:b2297,0.0403235048078158,0.14886810039184256,0.001276311715077148,0.0012449751255244196,0.1896124036766037,0.5095238095238095,2
390,eco:b2296,0.013955646375008684,0.14304377179257047,0.0002795625421081989,0.00042596675021211385,0.17212751279671834,0.5357142857142857,2
391,eco:b4095,1.9127326378339746e-10,0.07781526658029762,0.0015883514571346615,0.0015883514571346615,0.08425654039155774,0.0,2
392,eco:b4098,4.549335580077107e-09,0.08705133589011263,0.003171961566636085,0.003171961566636085,0.09537968820820214,0.0,2
393,eco:b4101,8.228344392427347e-12,0.07033088119287308,0.0,0.0,0.07492616106581906,0.0,2
394,eco:b4092,1.0969134865335193e-07,0.09873537250897903,0.004750830328504271,0.004750830328504271,0.10994093304549082,0.0,2
395,eco:b3591,5.605254623562365e-05,0.10786545979514617,0.0,0.0,0.11900783595560578,0.0,2
396,eco:b1764,0.00043229025453164315,0.12010907535904729,0.0,0.0,0.1354180156682882,1.0,2
397,eco:b1680,0.010171878710971659,0.14363087610365108,0.005329851065494144,0.005428195466387021,0.17105146395135495,0.26666666666666666,2
398,eco:b2114,0.0013988684003788572,0.13064664490388103,0.0023245425779646676,0.002528472869539662,0.15199655561461894,0.4666666666666667,1
399,eco:b0888,0.00043298151608504577,0.12013852829562381,0.0015883514571346615,0.0015883514571346615,0.13596208530920223,0.3333333333333333,2
400,eco:b2881,1.7649623017344068e-05,0.1031855346229052,0.0,0.0,0.1127593072506025,0.0,2
401,eco:b3967,0.003413882888819067,0.1425858318945151,2.772101600751668e-06,2.613129093318556e-06,0.17729746978930855,0.9615384615384616,1
402,eco:b0088,2.4419592526577985e-08,0.08504164526810516,0.0017825830981414497,0.002053046082079575,0.09159124078393781,0.0,1
403,eco:b0091,1.0677128255395208e-09,0.07996163185727989,0.0009535912301843148,0.0012085363387418942,0.08658834353546475,0.0,1
404,eco:b4053,0.00877091193753348,0.1422546220643304,0.010932625850607393,0.011099185336566156,0.1671432303641224,0.5,2
405,eco:b0381,0.00035812788736797155,0.12096911565174169,0.009470106040954822,0.009647147623887083,0.1354629230037287,0.0,2
406,eco:b2988,0.0005594885273155413,0.1280180084634319,0.0050258001575539096,0.004435855216262452,0.1562125306684609,0.6,2
407,eco:b0932,0.01614933735107526,0.16068380399788584,0.005091572099637544,0.004225847824895366,0.20089963838603633,0.6176470588235294,2
408,eco:b0237,0.01614933735107526,0.16068380399788584,0.005091572099637544,0.004225847824895366,0.20089963838603633,0.6176470588235294,2
409,eco:b2523,0.01614933735107526,0.16068380399788584,0.005091572099637544,0.004225847824895366,0.20089963838603633,0.6176470588235294,2
410,eco:b4260,0.01614933735107526,0.16068380399788584,0.005091572099637544,0.004225847824895366,0.20089963838603633,0.6176470588235294,2
